No,Name,Type,Description
1,Cellular Noise 2D,2D PROCEDURAL,A 2D cellular noise generator.
2,Noise 2D,2D PROCEDURAL,A 2D Perlin noise generator.
3,Ramp 4 Corners,2D PROCEDURAL,A four-point linear value ramp (gradient) generator.
4,Ramp Horizontal,2D PROCEDURAL,A left-to-right linear value ramp (gradient) generator.
5,Ramp Vertical,2D PROCEDURAL,A top-to-bottom linear value ramp (gradient) generator.
6,Split Horizontal,2D PROCEDURAL,"A left-to-right split matte, split at a specified U value."
7,Split Vertical,2D PROCEDURAL,"A top-to-bottom split matte, split at a specified V value."
8,Worley Noise 2D,2D PROCEDURAL,A 2D Worley noise generator.
9,Image,2D TEXTURE,A texture referencing a 2D image file.
10,Tiled Image,2D TEXTURE,Samples data from an image with provisions for offsetting and tiling in UV space.
11,Transform 2D,2D TEXTURE,A node that applies an affine transformation to a 2D input.
12,UV Texture,2D TEXTURE,A MaterialX version of UsD UV Texture reader.
13,Cellular Noise 3D,3D PROCEDURAL,A 3D cellular noise generator.
14,Fractal Noise 3D,3D PROCEDURAL,Zero-centered 3D fractal noise created by summing several octaves of 3D Perlin noise.
15,Noise 3D,3D PROCEDURAL,A 3D Perlin noise generator.
16,Worley Noise 3D,3D PROCEDURAL,A 3D Worley noise generator.
17,Triplanar Projection,3D TEXTURE,Samples data from three images and projects each along its respective coordinate axis and blends them by geometric normal.
18,Contrast,ADJUSTMENT,Increases or decreases contrast of values using a linear slope multiplier.
19,HSV Adjust,ADJUSTMENT,"Adjusts the hue, saturation and value of an RGB color by a vector<amount>."
20,HSV to RGB,ADJUSTMENT,Converts a color from HSV to RGB space.
21,Luminance,ADJUSTMENT,Outputs a grayscale value containing the luminance of the incoming RGB color in all color channels.
22,Range,ADJUSTMENT,Remaps incoming values from one range to another.
23,Remap,ADJUSTMENT,Linearly remaps incoming values from one range to another.
24,RGB to HSV,ADJUSTMENT,Converts a color from RGB to HSV space.
25,Saturate,ADJUSTMENT,Adjusts the saturation of a color.
26,Smooth Step,ADJUSTMENT,Outputs a smooth remapping from low-high to O-1.
27,Step (RealityKit),ADJUSTMENT,Step
28,Time (float),APPLICATION,The current time in seconds.
29,Up Direction,APPLICATION,The direction of the upvector
30,Additive Mix,COMPOSITING,Adds foreground and background values.
31,Burn,COMPOSITING,A blend operation that darkens the foreground layer using the background.
32,Difference,COMPOSITING,Outputs the distance between foreground and background values.
33,Disjoint Over,COMPOSITING,"A merge operation that layers foreground over background color, but assumes no overlap in partially transparent areas covered by both."
34,Dodge,COMPOSITING,A blend operation that lightens the background layer depending on the foreground.
